"LANGUAGE","Polski","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"LANGUAGE_CHOICE","Wybierz język","Heading for language selection menu."
"LANGUAGE_GAME","Wybierz język gry","Default selection in language selection menu."
"WHATSNEW_L1","Modyfikacja została zaktualizowana.",""
"WHATSNEW_L2","W celu poznania pełnej listy zmian, sprawdź Steam Workshop lub GitHub.",""
"WHATSNEW_L3","Dziękuję za korzystanie z moda i wsparcie!",""
"NOTE_CLOSE","Zamknij","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Więcej nie pokazuj","Notification button text - don't show this notification again."
"ERROR","Oops! Something went wrong:",""
"MOD_DESCRIPTION","Informacja pasażerska w pociągu w stylu japońskim",""
"DETAIL_LOGGING","Włącz zapisywanie szczegółowych logów do debugowania","Option to record more detail in game log"
"NEXT","Następny przystanek","Next {0}. ({0} is the station name)"
"NOW_STOPPING_AT","Przystanek","Now stopping at {0}. ({0} is the station name)"
"FOR","Kierunek","For {0}. ({0} is the station name)"
"FOR_CIRCULAR","Kierunek","For {0}. ({0} is the station name)"
"SETTINGS_DISPLAY_WIDTH","Szerokość wyświetlania",""
"SETTINGS_STATION_NAME_ANGLE","Kąt obrotu nazwy stacji (beta) (nie działa w CJK)",""
"SETTINGS_MAXSTATIONNUM","Maximum number of display stations",""
"SETTINGS_TEXT_SHRINKED","Shrink next station text when it is long",""
"SETTINGS_STATION_SUFFIX","Station suffixes to remove",""
"SETTINGS_STATION_SUFFIX_TOOLTIP","If the station name end with these suffixes, they will be removed from the display",""
"SETTINGS_STATION_SUFFIX_WHITELIST","Whitelist of station name suffixes",""
"SETTINGS_STATION_SUFFIX_WHITELISTTOOLTIP","These won't be removed from station names, even if they are in the list of suffixes to remove.",""
"SETTINGS_DISPLAY_VEHICLE_TYPE","Wyświetl typy pojazdów",""
"SETTINGS_IS_TRAIN","Pociąg",""
"SETTINGS_IS_METRO","Metro",""
"SETTINGS_IS_MONORAIL","Kolej jednoszynowa",""
"SETTINGS_IS_TRAM","Tramwaj",""
"SETTINGS_IS_BUS","Autobus",""
"SETTINGS_IS_TROLLEYBUS","Trolejbus",""
"SETTINGS_IS_FERRY","Prom",""
"SETTINGS_IS_BLIMP","Sterowiec",""
"SETTINGS_IS_COPTER","Helikopter",""
"WARNTITLE","Uwaga!",""
"WARNDETAIL","Train Display przestał wyświetlać: {1}{0}",""
"WARNTEXT","Failed to detect the start and terminal stations",""
"IGNORE","Ignoruj",""
"HIDE","Ukryj informację pasażerską",""
"SETTINGS_RESETBTN","Reset Settings",""
